"NickName","cluster"
"French Fries Basket",1
"Krazy Kritter",1
"Cheeseburger Basket",2
"Chicken Tender Basket",2
"Gatorade",2
"Hot Dog Basket",2
"Soft Pretzel",2
"Chicken Nugget Basket",3
"Coney",3
"Icee",3
"IceCreamCone",4
"Cheese",5
"Alchohol",5
"Burger",5
"Chips",5
"Coffee/HotTea",5
"Gourmet Cup",5
"Grilled Chicken Sandwich Basket",5
"Milk",5
"Sandwich Basket",5
"Hot Chocolate",6
"Hot Chocolate Souvenir",6
"Bottled Water",7
"Medium Drink",7
"Small Drink",7
"Snack",7
"Souvenir Drink",7
"Whole/Slice Cheese",7
"Whole/Slice Pepp",7
"Capri Sun",8
"Cheese Fries Basket",8
"Chili Cheese Sandwich",8
"Diet Dr Pepper",8
"Diet Pepsi",8
"Dr Pepper",8
"Fish Basket",8
"Float",8
"Funnel Cake Topping",8
"Iced Tea",8
"Land Shark",8
"Mountain Dew",8
"Nacho",8
"Pepsi",8
"Pink Lemonade",8
"Red River Hog",8
"Salad",8
"Shinerboch",8
"Siberian Chill",8
"Sierra Mist",8
"Small/Large Fry",8
"Soup",8
"Special",8
"Stella",8
"Veggie Burger Basket",8
"Walking 3-Way",8
